LOCATION,MEASURE,TIME,Value
AUS,NATUSD,2021,1.438979
CAN,NATUSD,2021,1.253066
FRA,NATUSD,2021,0.725323
DEU,NATUSD,2021,0.741488
ITA,NATUSD,2021,0.654354
JPN,NATUSD,2021,100.41164
KOR,NATUSD,2021,847.456839
MEX,NATUSD,2021,10.043314
TUR,NATUSD,2021,2.781851
GBR,NATUSD,2021,0.692802
USA,NATUSD,2021,1
BRA,NATUSD,2021,2.526131
CHN,NATUSD,2021,4.187342
IND,NATUSD,2021,23.138138
IDN,NATUSD,2021,4758.700957
RUS,NATUSD,2021,27.331899
ZAF,NATUSD,2021,7.168097
SAU,NATUSD,2021,1.784958
ARG,NATUSD,2021,43.135409
EU27_2020,NATUSD,2021,0.667415
